0	50	46.4	39.2
1	48.2	46.4	37.4
2	48.2	46.4	37.4
3	48.2	44.6	35.6
4	48.2	44.6	35.6
5	48.2	44.6	35.6
6	48.2	44.6	37.4
7	48.2	44.6	37.4
8	50	46.4	39.2
9	55.4	51.8	41
10	60.8	57.2	44.6
11	64.4	60.8	48.2
12	68	64.4	51.8
13	69.8	66.2	53.6
14	69.8	66.2	55.4
15	71.6	66.2	57.2
16	71.6	68	57.2
17	69.8	66.2	55.4
18	68	64.4	53.6
19	66.2	62.6	51.8
20	64.4	59	50
21	62.6	57.2	48.2
22	60.8	55.4	46.4
23	60.8	55.4	46.4
